name,ranking,price,rating,year,country,region,sub_region,vineyard,style,color,blurb
Lucien Albrecht NV Brut Sparkling (Crémant d'Alsace),71,17,91,N/A,France,Alsace,Crémant d'Alsace,Lucien Albrecht,Brut Sparkling ,Sparkling,Touches of lime and lemon zest entice on the shy but refreshing ...
Nobilo 2017 Icon Sauvignon Blanc (Marlborough),70,22,91,2017,New Zealand,New Zealand,Marlborough,Nobilo ,Sauvignon Blanc ,White,This wine offers the classic Marlborough combo of ripe tropical fruit flavors ...
Fiuza 2016 Reserva Premium Alicante Bouschet (Tejo),69,40,92,2016,Portugal,Portugal,Tejo,Fiuza ,Reserva Premium Alicante Bouschet ,Red,"New wood aromas with mint and spice introduce this dense, finely perfumed ..."
Donnafugata 2015 Ben Ryè  (Passito di Pantelleria),68,40,94,2015,Italy,Sicily & Sardinia,Passito di Pantelleria,Donnafugata ,Ben Ryè  ,Dessert,"Made from 100% dried Zibibbo grapes, this iconic dessert wine opens with ..."
No Girls 2015 La Paciencia Vineyard Grenache (Walla Walla Valley (OR)),67,75,94,2015,USA,Oregon,Walla Walla Valley,No Girls ,Grenache,Red,"The aromas pop in notes of sea breeze, dried nori, flower, wet ..."
Quinta da Rede 2016 Grande Reserva White (Douro),66,26,92,2016,Portugal,Portugal,Douro,Quinta da Rede , Grande Reserva White ,White,With six months in wood and lees stirring to make flavors even ...
Jean-Marc Brocard 2015 Vaulorent Premier Cru  (Chablis),65,45,93,2015,France,Burgundy,Chablis,Jean-Marc Brocard , Vaulorent Premier Cru  ,White,"Released a year later than other premier crus, this is a flagship ..."
Maison Saint Aix 2017 Aix Rosé (Coteaux d'Aix-en-Provence),64,18,90,2017,France,Provence,Coteaux d'Aix-en-Provence,Maison Saint Aix , Aix Rosé ,Rosé ,"This wine has the richness of Aix-en-Provence. Ripe red fruits, layers of ..."
Lustau NV Oloroso Don Nuño Dry Sherry (Jerez),63,25,92,N/A,Spain,Andalucia,Jerez,Lustau,Oloroso Don Nuño Dry Sherry,Sherry,Toffee and baked brown sugar aromas provide a nice opening in this ...
Giant Steps 2016 Sexton Vineyard Chardonnay (Yarra Valley),62,42,93,2016,Australia,Victoria,Yarra Valley,Giant Steps ,Chardonnay ,White,Acclaimed winemaker Steve Flamsteed delivers the goods in this complex yet easygoing ...
Abacela 2015 Fiesta Tempranillo (Umpqua Valley),61,23,92,2015,USA,Oregon,Umpqua Valley,Abacela ,Tempranillo ,Red,Fiesta is the entry-level cuvée among four different Abacela Tempranillos. To say ...
Bodega Norton 2015 Privada Family Blend Red (Mendoza),60,25,92,2015,Argentina,Mendoza Province,Mendoza,Bodega Norton , Privada Family Blend Red ,Red,"Ripe blackberry and black cherry aromas are a touch candied, with a ..."
Domaine Chevillon-Chezeaux 2015 Les Saint-Georges Premier Cru  (Nuits-St.-Georges),59,90,95,2015,France,Burgundy,Nuits-St.-Georges,Domaine Chevillon-Chezeaux ,Pinot Noir,Red,"This vineyard, on the hill above the city of Nuits-St.-Georges, is widely ..."
Château de Ségriès 2017  Tavel,58,22,92,2017,France,Rhône Valley,N/A,Château de Ségriès ,Tavel,Rosé ,"Pristine watermelon, strawberry and cherry flavors burst from nose and palate of ..."
Polkura 2015 Syrah (Marchigue),57,22,92,2015,Chile,Chile,Marchigue,Polkura ,Syrah ,Red,This is yet another in a growing line of excellent Syrahs from ...
Shannon Ridge 2016 High Elevation Collection Petite Sirah (Lake County),56,23,92,2016,USA,California,Lake County,Shannon Ridge ,Petite Sirah ,Red,"Smooth but dense, this wine is unusually supple for the variety. It ..."
Laurent-Perrier NV Grand Siècle Grande Cuvée Brut  (Champagne),55,150,97,N/A,France,Champagne,Champagne,Laurent-Perrier ,Grand Siècle Grande Cuvée Brut ,Sparkling,Laurent-Perrier has always preferred to keep its prestige cuvée as a nonvintage ...
Margerum 2017 M5 Margerum Estate Vineyard White (Los Olivos District),54,21,92,2017,USA,California,Los Olivos District,Margerum ,M5 Margerum Estate Vineyard White,White,"This is a compelling and delicious blend of 54% Grenache Blanc, 21% ..."
Soléna 2017 Pinot Gris (Willamette Valley),53,20,92,2017,USA,Oregon,Willamette Valley,Soléna , Pinot Gris ,White,This is a delicious wine that offers a riot of cut pear ...
